licenseid,licensenumber
2666,INVIMA 2017DM-0001151-R1
130679,CERTIFICACIÓN No. 2017004860
130686,CERTIFICACIÓN No. 2010019921
130689,CERTIFICACION No. 2010016238
130698,INVIMA 2018 DM - 0000784 - R1
130700,INVIMA 2018 DM - 0000859 - R1
130705,INVIMA 2017 DM - 0000919 - R1
130706,INVIMA 2007 DM - 0000967
130710,INVIMA 2017 DM - 0001397 - R1
130715,INVIMA 2017 DM - 0001657 - R1
130716,INVIMA 2008 DM - 0001745
130725,INVIMA 2008 DM - 0002205
130726,INVIMA 2021 DM - 0002229 - R1
130729,INVIMA 2018 DM - 0002461 - R1
130730,INVIMA 2018 DM - 0002565 - R1
130737,INVIMA 2018 DM - 0002835 - R1
130742,INVIMA 2008 DM - 0002990
130746,INVIMA 2008 EBC - 0002814
130777,INVIMA 2020 DM - 00128 - R4
130780,INVIMA 2021 DM - 0000231 - R2
130784,INVIMA 2021 DM - 000275 - R3
130785,INVIMA 2011 DM - 0006949
130786,INVIMA 2021 DM - 0007150 - R1
130788,INVIMA 2021 DM - 0007213 - R1
130799,INVIMA 2011 DM - 0007782
130806,INVIMA 2011 DM - 0008111
130810,INVIMA 2011 DM - 0008238
130820,INVIMA 2022 DM - 0001052 - R2
130825,INVIMA 2012 DM - 0008435
130855,INVIMA 2014 DM - 0002666 - R1
130868,INVIMA 2015 DM - 0003285 - R1
130869,INVIMA 2025 DM - 0003344 - R2
130871,INVIMA 2015 DM - 0003403 - R1
130891,INVIMA 2016 DM - 0000127 - R2
130900,INVIMA 2017 DM - 0000333 - R1
130904,INVIMA 2017 DM - 0015879
130908,INVIMA 2019 DM - 000179 - R4
130913,INVIMA 2017 DM - 0016826
147345,INVIMA 2018 DM - 0018119
147346,INVIMA 2018 DM - 0017639
147347,CERTIFICACIÓN No. 2018009364
151823,INVIMA 2019 DM - 0020379
154784,INVIMA 2020 DM - 0021636
168482,INVIMA 2021 DM - 0024562
168639,INVIMA 2021 DM - 0024582
168735,INVIMA 2021 DM - 0024660
172424,
176102,INVIMA 2023 DM - 0026907
176124,INVIMA 2023 DM - 0026847
176331,INVIMA 2023 DM - 0026508
182051,INVIMA 2016DM-0015092 
182052,INVIMA 2020DM-0022419
183132,INVIMA 2024 DM - 0028569
183199,INVIMA 2024 DM - 0028579
185518,INVIMA 2021DM-0006480-R1
186608,INVIMA 2019EBC-0004876-R1
187761,INVIMA 2024EBC-0029608
188755,INVIMA 2019 DM - 0020098
189921,INVIMA 2025 DM - 0030536
130683,CERTIFICACION No. 2011004547
130693,
130695,
130702,INVIMA 2018 DM - 0000907 - R4
130717,INVIMA 2019 DM - 0001827 - R1
130722,INVIMA 2008 DM - 0002180; INVIMA 2008 DM - 0002013
130723,INVIMA 2018 DM - 0002202 - R1
130739,INVIMA 2018 DM - 0002937 - R1
130748,INVIMA 2018 DM - 0003355 - R1
130757,INVIMA 2020 DM - 0004868 - R1
130761,INVIMA 2009 EBC - 0003125
130762,INVIMA 2009 EBC - 0003806
130763,INVIMA 2020 DM - 0004339 - R1
130770,INVIMA 2020 DM - 0005894 - R1
130771,INVIMA 2010 DM - 0006036
130790,INVIMA 2021 DM - 0007247 - R1
130797,INVIMA 2021 DM - 0007715 - R1
130813,INVIMA 2011 DM - 0008278
130817,INVIMA 2022 EBC - 0008114 - R1
130818,INVIMA 2021 DM - 0000849 - R2
130832,INVIMA 2022 DM - 0008758 - R1
130833,INVIMA 2012 DM - 0008946
130835,INVIMA 2012 DM - 0009090
130843,INVIMA 2024 DM - 0002305 - R2
130848,INVIMA 2013 DM - 0009959
130851,INVIMA 2013 DM - 0010533
130860,INVIMA 2024 DM - 0011094 - R1
130878,INVIMA 2024 DM - 0012985 - R1
130879,INVIMA 2015 DM - 0013126
130882,INVIMA 2015 DM - 0013470
130885,INVIMA 2015 DM - 0013800
130895,INVIMA 2016 DM - 0000232 - R1
130902,INVIMA 2017 DM - 0000529 - R1
130906,INVIMA 2017 DM - 0015909
146576,INVIMA 2018 DM - 0017996
149279,INVIMA 2019DM-0019219
168638,INVIMA 2021 DM - 0024493
171716,INVIMA 2022 DM - 0025331
172425,
174612,INVIMA 2022 DM - 0026274
179093,INVIMA 2023 DM - 0027973
179186,INVIMA 2023 DM - 0027997
181763,INVIMA 2021DM-0006208-R1
185516,INVIMA 2020EBC-0005194-R1
186609,INVIMA 2020EBC-0005194-R1
130828,INVIMA 2022 DM - 0008529 - R1
130787,INVIMA 2021 DM - 0007151 - R1
130894,INVIMA 2016 DM - 0000197 - R2
2668,INVIMA 2008 DM-0002061
130681,CERTIFICACIÓN No. 2010010940
130685,
130690,CERTIFICACION No. 2011008425
130697,INVIMA 2017 DM - 0000699 - R2
130704,INVIMA 2018 DM - 0000909 - R3
130709,INVIMA 2017 DM - 0001388 - R1
130711,INVIMA 2017 DM - 0001399 - R1
130713,INVIMA 2018 DM - 0001417 - R1
130720,INVIMA 2018 DM - 0002136 - R1
130734,INVIMA 2008 DM - 0002826
130744,INVIMA 2008 EBC - 0001779
130745,INVIMA 2008 EBC - 0002227
130749,INVIMA 2009 DM - 0003440
130750,INVIMA 2009 DM - 0003568
130754,INVIMA 2020 DM - 0004623 - R1
130755,INVIMA 2009 DM - 0004681
130756,INVIMA 2009 DM - 0004835
130769,INVIMA 2010 DM - 0005869
130776,INVIMA 2010 DM - 0006723
130792,INVIMA 2011 DM - 0007441
130793,INVIMA 2021 DM - 0007527 - R1
130800,INVIMA 2022 DM - 0007783 - R1
130805,INVIMA 2021 DM - 0008058 - R1
130830,INVIMA 2012 DM - 0008581
130834,INVIMA 2012 DM - 0009077
130838,INVIMA 2022 DM - 0009517 - R1
130841,INVIMA 2023 DM - 0001488 - R2
130845,INVIMA 2013 DM - 0009771
130846,INVIMA 2024 DM - 0009792 - R1
130847,INVIMA 2013 DM - 0009858
130852,INVIMA 2024 DM - 0002230 - R2
130854,INVIMA 2024 DM - 0002363 - R2
130859,INVIMA 2024 DM - 0011077 - R1
130876,INVIMA 2015 DM - 0012670
130877,INVIMA 2015 DM - 0012676
130880,INVIMA 2015 DM - 0013182
130886,INVIMA 2015 DM - 0013962
130887,INVIMA 2015 DM - 0013990
130892,INVIMA 2016 DM - 0000128 - R2
130896,INVIMA 2016 DM - 0000279 - R4
130899,INVIMA 2016 RD - 0003869
130911,INVIMA V - 3661 - R1
130914,
130918,INVIMA 2018 DM - 0017892
149280,INVIMA 2019DM-0019219
151719,INVIMA 2023 EBC - 0009727 - R1
165624,INVIMA 2021 EBC - 0023458
166158,INVIMA 2021 DM - 0023572
168539,INVIMA 2021 DM - 0024496
172426,
177535,INVIMA 2023 DM - 0027260
178766,INVIMA 2023 DM - 0027654
178788,INVIMA 2023 DM - 0027684
181712,2020DM-0022419
184237,INVIMA 2024 DM - 0029029
185155,
186611,INVIMA 2021DM-0006480-R1
188892,
130821,INVIMA 2022 DM - 0001054 - R2
130881,INVIMA 2015 DM - 0013341
130804,INVIMA 2021 DM - 0008003 - R1
130764,INVIMA 2021 DM - 000273 - R4
130680,CERTIFICACIÓN No. 2010002483
130687,CERTIFICACIÓN No. 2010010148
130691,
130694,CERTIFICACION No. 2010012976
130721,INVIMA 2018 DM - 0002180 - R1
130731,INVIMA 2008 DM - 0002628
130732,INVIMA 2018 DM - 0002676 - R1
130736,INVIMA 2018 DM - 0002832 - R1
130740,INVIMA 2008 DM - 0002938
130741,INVIMA 2008 DM - 0002941
130747,INVIMA 2009 DM - 0003101
130753,INVIMA 2020 DM - 0004120 - R1
130760,INVIMA 2009 DM - 3849 - R1
130765,INVIMA 2020 DM - 000296 - R4
130791,INVIMA 2022 DM - 0007330 - R1
130801,INVIMA 2022 DM - 0007822 - R1
130802,INVIMA 2021 DM - 0007824 - R1
130816,INVIMA 2011 DM - 0008410
130824,INVIMA 2012 DM - 0001845 - R1
130827,INVIMA 2022 DM - 0008479 - R1
130831,INVIMA 2012 DM - 0008722
130839,INVIMA 2022 DM - 001714 - R3
130844,INVIMA 2023 DM - 0002348 - R2
130850,INVIMA 2013 DM - 0010101
130863,INVIMA 2024 DM - 0011616 - R1
130865,INVIMA 2025 DM - 0003062 - R2 
130867,INVIMA 2025 DM - 0003196 - R2
130870,INVIMA 2015 DM - 0003345 - R1
130883,INVIMA 2015 DM - 0013585
130903,INVIMA 2017 DM - 0000979 - R1
130910,INVIMA V - 004042 - R1
150485,INVIMA 2019DM-0019969
166622,INVIMA 2021 DM - 0023742
166667,INVIMA 2021 DM - 0023530
168099,INVIMA 2021 DM - 0024480
169491,INVIMA 2021 DM - 0024796
169492,
171660,INVIMA 2022 DM - 0025297
171703,INVIMA 2022 DM - 0025344
171734,
186610,INVIMA 2020EBC-0005660-R1
130778,INVIMA 2021 DM - 01451 - R3
130718,INVIMA 2019 DM - 0001873 - R1
130905,INVIMA 2017 DM - 0015882
130692,
